Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,77.500000,82.820000,76.279999,77.970001,77.970001,15388000
2013-02-01,78.059998,89.139999,76.190002,86.389999,86.389999,22942900
2013-03-01,85.769997,106.290001,85.739998,104.180000,104.180000,34392300
2013-04-01,104.650002,106.980003,99.410004,100.739998,100.739998,14391900
2013-05-01,100.480003,116.419998,100.480003,112.000000,112.000000,19358100
2013-06-01,112.739998,128.570007,109.629997,123.849998,123.849998,23331300
2013-07-01,124.199997,130.589996,121.400002,125.739998,125.739998,26469000
2013-08-01,125.750000,137.289993,119.059998,121.419998,121.419998,19418700
2013-09-01,122.660004,136.320007,122.050003,134.759995,134.759995,10917500
2013-10-01,134.800003,144.020004,130.059998,134.039993,134.039993,11493300
2013-11-01,134.699997,139.139999,125.680000,135.100006,135.100006,21445600
2013-12-01,134.839996,136.759995,126.309998,136.759995,136.759995,18274800
2014-01-01,137.149994,140.740005,130.580002,137.000000,137.000000,27413500
2014-02-01,137.729996,140.240005,120.500000,126.769997,126.769997,49676800
2014-03-01,125.400002,129.750000,120.750000,123.199997,123.199997,25335000
2014-04-01,123.709999,142.699997,116.779999,135.529999,135.529999,34321700
2014-05-01,135.360001,144.589996,134.139999,143.139999,143.139999,20798100
2014-06-01,142.889999,159.240005,142.850006,158.380005,158.380005,19626000
2014-07-01,158.679993,167.300003,151.589996,154.520004,154.520004,23809300
2014-08-01,155.679993,160.990005,149.660004,156.869995,156.869995,16436000
2014-09-01,156.669998,162.970001,150.479996,151.369995,151.369995,19825100
2014-10-01,151.000000,159.149994,137.509995,158.389999,158.389999,25213800
2014-11-01,158.990005,169.729996,142.369995,169.699997,169.699997,22282500
2014-12-01,169.570007,169.850006,158.000000,166.619995,166.619995,15865100
2015-01-01,167.229996,167.300003,149.470001,151.119995,151.119995,18999000
2015-02-01,151.160004,183.240005,150.289993,180.600006,180.600006,19288200
2015-03-01,180.460007,199.000000,178.690002,193.110001,193.110001,21762300
2015-04-01,191.940002,194.000000,179.770004,187.059998,187.059998,26659400
2015-05-01,182.360001,191.899994,172.169998,179.020004,179.020004,50466300
2015-06-01,179.179993,181.899994,166.539993,171.250000,171.250000,36113900
2015-07-01,172.970001,189.990005,168.729996,185.860001,185.860001,34422900
2015-08-01,186.940002,195.460007,161.910004,181.610001,181.610001,34840000
2015-09-01,180.529999,195.000000,166.330002,175.850006,175.850006,33555500
2015-10-01,176.740005,194.919998,175.080002,190.940002,190.940002,33831500
2015-11-01,193.250000,193.630005,183.059998,187.360001,187.360001,23565900
2015-12-01,187.649994,190.679993,173.210007,183.100006,183.100006,25936100
2016-01-01,180.559998,182.039993,160.740005,171.360001,171.360001,33538700
2016-02-01,169.639999,184.720001,156.130005,179.559998,179.559998,53218000
2016-03-01,181.080002,204.610001,179.910004,202.429993,202.429993,47628900
2016-04-01,203.119995,213.320007,193.770004,212.240005,212.240005,46335200
2016-05-01,212.250000,233.699997,201.039993,218.940002,218.940002,111980500
2016-06-01,222.500000,229.800003,214.059998,228.639999,228.639999,57572700
2016-07-01,228.679993,244.509995,226.809998,234.869995,234.869995,28007600
2016-08-01,235.539993,261.750000,233.000000,257.209991,257.209991,32889700
2016-09-01,267.000000,279.950012,261.679993,269.970001,269.970001,86312100
2016-10-01,269.679993,270.989990,242.470001,249.889999,249.889999,36245100
2016-11-01,250.000000,281.429993,241.500000,275.309998,275.309998,51784100
2016-12-01,273.549988,294.869995,265.779999,287.920013,287.920013,28943600
2017-01-01,290.239990,341.500000,282.540009,323.950012,323.950012,42799300
2017-02-01,323.850006,329.100006,317.019989,323.059998,323.059998,25845800
2017-03-01,325.760010,330.910004,318.929993,327.320007,327.320007,22515200
2017-04-01,327.500000,350.380005,325.019989,345.160004,345.160004,22288100
2017-05-01,346.290009,347.250000,312.489990,345.549988,345.549988,40915700
2017-06-01,346.500000,355.000000,326.399994,336.850006,336.850006,35030800
2017-07-01,338.260010,399.910004,328.649994,391.970001,391.970001,31064900
2017-08-01,392.839996,408.829987,378.260010,398.540009,398.540009,36730800
2017-09-01,398.929993,404.720001,356.109985,363.420013,363.420013,43514600
2017-10-01,364.519989,374.989990,308.299988,334.170013,334.170013,49702800
2017-11-01,335.619995,361.279999,317.929993,326.209991,326.209991,40167000
2017-12-01,321.940002,347.480011,312.529999,335.959991,335.959991,36909100
2018-01-01,338.429993,379.329987,337.769989,377.250000,377.250000,30153300
2018-02-01,376.109985,396.640015,341.709991,341.929993,341.929993,28970700
2018-03-01,342.720001,369.510010,303.779999,311.220001,311.220001,31575200
2018-04-01,308.910004,322.890015,250.100006,271.290009,271.290009,47553200
2018-05-01,270.579987,281.329987,259.480011,261.040009,261.040009,38252400
2018-06-01,261.700012,302.429993,260.000000,293.209991,293.209991,37397200
2018-07-01,292.130005,314.880005,271.559998,304.579987,304.579987,24798600
2018-08-01,304.989990,313.109985,292.709991,310.399994,310.399994,33927800
2018-09-01,309.820007,334.980011,303.089996,325.880005,325.880005,29555100
2018-10-01,327.660004,329.140015,284.350006,320.369995,320.369995,36438100
2018-11-01,319.779999,334.760010,302.459991,329.200012,329.200012,24343500
2018-12-01,331.709991,334.309998,272.910004,284.970001,284.970001,27439200
2019-01-01,279.890015,338.309998,279.109985,331.049988,331.049988,32435000
2019-02-01,331.869995,353.750000,330.920013,344.910004,344.910004,23429000
2019-03-01,347.519989,368.019989,335.529999,346.910004,346.910004,30610500
2019-04-01,349.809998,375.000000,343.149994,371.190002,371.190002,18795900
2019-05-01,373.130005,387.410004,365.899994,376.799988,376.799988,21269100
2019-06-01,376.339996,401.380005,375.239990,395.179993,395.179993,20094600
2019-07-01,400.000000,417.130005,375.059998,385.380005,385.380005,19690800
2019-08-01,385.940002,412.500000,370.779999,409.589996,409.589996,29487500
2019-09-01,408.079987,431.429993,401.839996,412.119995,412.119995,24504800
2019-10-01,412.529999,470.309998,405.019989,467.859985,467.859985,24439700
2019-11-01,469.970001,485.989990,462.989990,470.010010,470.010010,19311600
2019-12-01,469.320007,487.519989,460.470001,485.079987,485.079987,21893200
2020-01-01,487.410004,521.690002,480.489990,517.460022,517.460022,26563900
2020-02-01,522.840027,546.539978,485.459991,493.170013,493.170013,26274900
2020-03-01,494.470001,524.650024,345.670013,436.309998,436.309998,62803900
2020-04-01,418.299988,515.630005,413.390015,495.230011,495.230011,25626700
2020-05-01,511.000000,545.630005,485.010010,544.000000,544.000000,20979600
2020-06-01,545.039978,549.000000,498.079987,510.040009,510.040009,25099100
2020-07-01,510.040009,594.309998,505.450012,580.000000,580.000000,18431300
2020-08-01,585.010010,621.039978,579.000000,615.609985,615.609985,17431800
2020-09-01,614.039978,635.859985,591.599976,624.340027,624.340027,22378800
2020-10-01,627.309998,663.700012,572.460022,603.820007,603.820007,22663200
2020-11-01,605.099976,663.070007,578.760010,651.989990,651.989990,21704000
2020-12-01,656.700012,681.710022,634.469971,661.549988,661.549988,25373400
2021-01-01,666.590027,671.000000,604.090027,607.559998,607.559998,23665500
2021-02-01,611.010010,628.299988,585.450012,613.419983,613.419983,21420000
2021-03-01,618.390015,657.840027,598.010010,617.020020,617.020020,29713000
2021-04-01,618.000000,683.049988,600.159973,673.450012,673.450012,19349100
2021-05-01,679.099976,712.409973,669.549988,694.530029,694.530029,17810100
2021-06-01,697.530029,726.659973,670.239990,721.450012,721.450012,18680800
2021-07-01,721.520020,749.309998,700.619995,744.049988,744.049988,15434900
2021-08-01,748.729980,820.729980,738.750000,816.659973,816.659973,17570100
2021-09-01,818.710022,825.619995,725.000000,727.559998,727.559998,21246100
2021-10-01,735.109985,753.690002,660.000000,674.890015,674.890015,18156800
2021-11-01,675.000000,706.929993,644.419983,646.280029,646.280029,19535500
2021-12-01,653.669983,693.090027,599.340027,651.969971,651.969971,29921100
2022-01-01,642.750000,653.090027,549.590027,593.340027,593.340027,27369700
2022-02-01,590.729980,621.000000,566.049988,601.780029,601.780029,37314500
2022-03-01,590.989990,603.159973,544.590027,545.520020,545.520020,35037800
2022-04-01,549.109985,574.650024,415.010010,428.489990,428.489990,31378800
2022-05-01,431.489990,515.659973,410.329987,506.929993,506.929993,32300800
2022-06-01,508.329987,514.210022,407.750000,468.529999,468.529999,28592800
2022-07-01,465.450012,496.369995,425.000000,432.100006,432.100006,23767500
2022-08-01,424.549988,484.269989,409.250000,412.630005,412.630005,25423300
2022-09-01,412.519989,422.019989,302.940002,303.350006,303.350006,34407300
2022-10-01,307.989990,376.959991,297.660004,367.619995,367.619995,33879700
2022-11-01,374.130005,403.489990,335.250000,391.290009,391.290009,25911300
2022-12-01,389.299988,402.899994,302.209991,339.100006,339.100006,36347200
2023-01-01,342.059998,412.649994,337.179993,384.309998,384.309998,27709900
2023-02-01,381.230011,415.290009,362.529999,367.609985,367.609985,19129700
2023-03-01,365.279999,373.140015,322.880005,357.609985,357.609985,25177800
2023-04-01,358.980011,371.519989,318.739990,368.700012,368.700012,20768600
2023-05-01,368.640015,374.420013,315.019989,326.149994,326.149994,22627300
